01_01	22s	playground - forward jumps, turn around
02_01	2s	walk
02_02	2s	walk
02_03	1s	run/jog
02_04	4s	jump, balance
05_01	4s	walk
06_01	4s	walk
07_01	2s	walk
07_02	2s	walk
07_03	3s	walk
07_04	3s	slow walk
07_05	4s	slow walk
07_06	3s	walk
07_07	3s	walk
07_08	3s	walk
07_09	2s	walk
07_10	2s	walk
07_11	2s	walk
07_12	2s	brisk walk
08_01	2s	walk
08_02	2s	walk
08_03	2s	walk
08_04	4s	slow walk
08_05	2s	walk/stride
08_06	2s	walk
08_07	2s	walk, exaggerated stride
08_08	2s	walk
08_09	2s	walk
08_10	2s	walk
08_11	3s	slow walk/stride
09_01	1s	run
09_02	1s	run
09_03	1s	run
09_04	1s	run
09_05	1s	run
09_06	1s	run
09_07	1s	run
09_08	1s	run
09_09	1s	run
09_10	1s	run
09_11	1s	run
09_12	15s	navigate - walk forward, backward, sideways
10_01	6s	soccer - kick ball
10_02	4s	soccer - kick ball
10_03	3s	soccer - kick ball
10_04	4s	walk
10_05	3s	soccer - kick ball
10_06	4s	soccer - kick ball
11_01	4s	soccer - kick ball
12_01	4s	walk
12_02	5s	walk
12_03	4s	walk
13_01	19s	sit on high stool, stand up
13_02	28s	sit on high stool, stand up
13_03	30s	sit on high stool, stand up
13_05	36s	sit on stepstool, hands against chin, fidget, stand up
13_06	36s	sit on stepstool, hands against chin, elbow out, stand up
13_10	19s	jump up to grab, reach for, tiptoe
13_11	3s	forward jump
13_12	28s	jump up to grab, reach for, tiptoe
13_13	3s	forward jump
13_19	3s	forward jump
13_26	25s	direct traffic, wave
13_27	34s	direct traffic, wave, point
13_28	34s	direct traffic, wave, point
13_29	38s	jumping jacks, side twists, bend over, squats
13_30	20s	jumping jacks, side twists, squats, jog
13_31	25s	jumping jacks, side twists, bend over, jog
13_32	2s	forward jump
13_39	2s	jump
13_40	2s	jump
13_41	3s	jump
13_42	3s	jump
14_06	44s	jumping jacks, jog, squats, side twists, stretches
14_07	18s	jump up to grab, reach for, tiptoe
14_08	21s	jump up to grab, reach for, tiptoe
14_09	27s	jump up to grab, reach for, tiptoe
14_14	38s	jumping jacks, jog, squats, side twists, stretches
14_20	38s	jumping jacks, side twists, reach up, bend over
14_24	30s	direct traffic, wave, point
14_25	36s	direct traffic, wave, point
14_26	39s	direct traffic, wave, point
14_27	17s	sit on high stool, stand up
14_28	17s	sit on high stool, stand up
14_31	17s	sit on stepstool, stand up
14_32	21s	sit on stepstool, stand up
14_36	17s	sit on stepstool, stand up
15_01	46s	walk/wander
15_03	104s	walk/wander
15_09	65s	walk/wander
15_10	23s	sit on high stool, stand up
15_14	75s	walk/wander
16_01	2s	jump
16_02	3s	jump
16_03	3s	high jump
16_04	3s	high jump
16_05	2s	forward jump
16_06	3s	forward jump
16_07	3s	forward jump
16_08	2s	run/jog, sudden stop
16_09	4s	forward jump
16_10	3s	forward jump
16_11	4s	walk, veer left
16_12	3s	walk, veer left
16_13	3s	walk, veer right
16_14	3s	walk, veer right
16_15	3s	walk
16_16	4s	walk
16_17	4s	walk, 90-degree left turn
16_18	4s	walk, 90-degree left turn
16_19	3s	walk, 90-degree right turn
16_20	4s	walk, 90-degree right turn
16_21	2s	walk
16_22	2s	walk
16_23	2s	walk, veer left
16_24	2s	walk, veer left
16_25	2s	walk, veer right
16_26	2s	walk, veer right
16_27	2s	walk, 90-degree left turn
16_28	2s	walk, 90-degree left turn
16_29	2s	walk, 90-degree right turn
16_30	2s	walk, 90-degree right turn
16_31	3s	walk
16_32	4s	walk
16_33	2s	slow walk, stop
16_34	2s	slow walk, stop
16_35	1s	run/jog
16_36	1s	run/jog
16_37	1s	run/jog, veer left
16_38	1s	run/jog, veer left
16_39	1s	run/jog, veer right
16_40	1s	run/jog, veer right
16_41	1s	run/jog, 90-degree left turn
16_42	1s	run/jog, 90-degree left turn
16_43	1s	run/jog, 90-degree right turn
16_44	1s	run/jog, 90-degree right turn
16_45	1s	run/jog
16_46	1s	run/jog
16_47	3s	walk
16_48	1s	run, veer left
16_49	1s	run, veer right
16_50	1s	run, veer right
16_51	1s	run, 90-degree left turn
16_52	1s	run, 90-degree left turn
16_53	1s	run, 90-degree right turn
16_54	1s	run, 90-degree right turn
16_55	1s	run
16_56	1s	run/jog
16_57	2s	run/jog, sudden stop
16_58	2s	walk
17_01	52s	walk with anger, frustration
17_02	53s	walk with anger, frustration
17_03	52s	walk stealthily
17_04	53s	walk stealthily
17_05	52s	walk/hobble
17_06	51s	whistle, walk jauntily
17_07	53s	whistle, walk jauntily
17_08	51s	muscular, heavyset person's walk
17_09	50s	muscular, heavyset person's walk
35_01	2s	walk
35_02	3s	walk
35_03	3s	walk
35_04	3s	walk
35_05	3s	walk
35_06	3s	walk
35_07	3s	walk
35_08	3s	walk
35_09	3s	walk
35_10	3s	walk
35_11	3s	walk
35_12	3s	walk
35_13	3s	walk
35_14	3s	walk
35_15	3s	walk
35_16	3s	walk
35_17	1s	run/jog
35_18	1s	run/jog
35_19	1s	run/jog
35_20	1s	run/jog
35_21	1s	run/jog
35_22	1s	run/jog
35_23	1s	run/jog
35_24	1s	run/jog
35_25	1s	run/jog
35_26	1s	run/jog
35_28	3s	walk
35_29	4s	walk
35_30	3s	walk
35_31	3s	walk
35_32	3s	walk
35_33	3s	walk
35_34	3s	walk
36_02	35s	walk forward, turn around, walk back
36_03	32s	walk forward, turn around, walk back
36_09	32s	walk forward, turn around, walk back
37_01	4s	slow walk
38_01	2s	walk
38_02	3s	walk
38_03	6s	run around in a circle
38_04	71s	walk around, frequent turns, cyclic walk along a line
39_01	3s	walk
39_02	3s	walk
39_03	3s	walk
39_04	3s	walk
39_05	3s	walk
39_06	3s	walk
39_07	3s	walk
39_08	2s	walk
39_09	3s	walk
39_10	3s	walk
39_11	7s	walk forward, turn around, walk back
39_12	3s	walk
39_13	3s	walk
39_14	3s	walk
69_01	3s	walk forward
69_02	2s	walk forward
69_03	3s	walk forward
69_04	3s	walk forward
69_05	3s	walk forward
69_06	43s	walk and turn (repeated)
69_07	43s	walk and turn (repeated)
69_08	44s	walk and turn (repeated)
69_09	42s	walk and turn (repeated)
69_10	47s	walk and turn (repeated)
69_11	41s	walk and turn (repeated)
69_12	40s	walk and turn both directions (repeated)
69_13	39s	walk, turn in place (repeated)
69_14	40s	walk, turn in place (repeated)
69_15	37s	walk, turn in place (repeated)
69_16	9s	turn in place
69_17	8s	turn in place
